Player,Pitch,RV/100,wOBA,xwOBA,Hard Hit %
Vinnie Pasquantino,Slider,3.4,0.498,0.391,45.0
Vinnie Pasquantino,4-Seam Fastball,0.8,0.381,0.385,46.3
Vinnie Pasquantino,Changeup,0.7,0.289,0.296,37.1
Vinnie Pasquantino,Curveball,-1.9,0.213,0.261,52.6
Vinnie Pasquantino,Sinker,-2.4,0.258,0.267,51.9
William Contreras,4-Seam Fastball,0.5,0.377,0.353,43.9
William Contreras,Sinker,-0.3,0.349,0.378,42.4
William Contreras,Slider,-0.4,0.288,0.29,26.8
Willson Contreras,Slider,1.6,0.389,0.418,39.5
Willson Contreras,4-Seam Fastball,0.9,0.359,0.454,52.5
Willson Contreras,Sinker,-0.4,0.334,0.287,37.0
Willy Adames,Sinker,0.7,0.337,0.296,24.1
Willy Adames,4-Seam Fastball,-0.2,0.321,0.376,53.8
Willy Adames,Slider,-0.6,0.273,0.269,31.8
Wilmer Flores,Sweeper,3.4,0.511,0.298,23.1
Wilmer Flores,Sinker,0.8,0.386,0.331,42.3
Wilmer Flores,Changeup,0.3,0.34,0.369,31.8
Wilmer Flores,Slider,0.1,0.32,0.257,16.7
Wilmer Flores,4-Seam Fastball,0.0,0.343,0.307,25.0
Yainer Diaz,Slider,0.9,0.293,0.433,45.7
Yainer Diaz,4-Seam Fastball,0.2,0.331,0.368,59.1
