Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Alex Caruso,G,OKC,Pts+Rebs,11.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Rebs+Asts,6.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Personal Fouls,3.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Rebounds,3.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,FG Attempted,6.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Assists,2.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Free Throws Made,0.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,3-PT Attempted,3.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Pts+Rebs+Asts,14.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Offensive Rebounds,0.5,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Two Pointers Attempted,3.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Points,8.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Fantasy Score,20.0,IND,base,Thu 8:40 PM
Alex Caruso,G,OKC,Pts+Asts,11.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Blocked Shots,0.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Personal Fouls,2.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Rebounds,7.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Points,7.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Defensive Rebounds,5.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Offensive Rebounds,2.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,FG Attempted,6.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Rebs+Asts,9.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Pts+Asts,9.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Pts+Rebs,14.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,FG Made,3.5,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Fantasy Score,21.0,IND,base,Thu 8:40 PM
Isaiah Hartenstein,C-F,OKC,Pts+Rebs+Asts,17.0,IND,base,Thu 8:40 PM
Thomas Bryant,C-F,IND,Pts+Asts,3.5,OKC,base,Thu 8:40 PM
Thomas Bryant,C-F,IND,Pts+Rebs+Asts,6.5,OKC,base,Thu 8:40 PM
Thomas Bryant,C-F,IND,Pts+Rebs,5.5,OKC,base,Thu 8:40 PM
